Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
b07ec663-aef9-49a1-882c-f9bf840c9e16,"2020-07-27, 02:25:16 PM",olajide,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,197.210.8.131
465f8fcc-00d7-44e5-88c2-11b123baddce,"2020-07-27, 02:25:02 PM",olajide,ListPolicies,,,,us-east-1,,197.210.8.131
ddafb74a-8c20-4908-b4aa-7a93a52356e4,"2020-07-27, 02:24:50 PM",olajide,ListGroups,,,,us-east-1,,197.210.8.131
db01be06-3225-4d33-bf9a-7e43334906e5,"2020-07-27, 02:22:33 PM",olajide,GetAccountPasswordPolicy,,,,us-east-1,,197.210.8.131
df40b722-9504-4582-b031-1a60ec37ee2d,"2020-07-27, 02:22:33 PM",olajide,UpdateAccountPasswordPolicy,,,,us-east-1,,197.210.8.131
4311787a-3417-425a-a8a0-8d54e2b377bd,"2020-07-27, 02:21:48 PM",olajide,GetAccountPasswordPolicy,,,,us-east-1,,197.210.8.131
7bd17df4-ceac-4ea2-801e-262a20b7af69,"2020-07-27, 02:21:48 PM",olajide,UpdateAccountPasswordPolicy,,,,us-east-1,,197.210.8.131
7ee3607a-ec61-455b-bed9-dfa1d866c127,"2020-07-27, 02:21:00 PM",olajide,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,197.210.8.131
8e33e679-cba6-489c-a137-89e0641b0504,"2020-07-27, 02:21:00 PM",olajide,ListAccountAliases,,,,us-east-1,,197.210.8.131
9d865f26-ceb4-4d62-b5c9-6f022dc59666,"2020-07-27, 02:21:00 PM",olajide,GetAccountSummary,,,,us-east-1,,197.210.8.131
a616fd72-e2c9-40de-8dba-a1005927930b,"2020-07-27, 02:21:00 PM",olajide,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,197.210.8.131
d22eeda9-8a62-4153-9465-2f6a73bee7aa,"2020-07-27, 02:21:00 PM",olajide,ListAccessKeys,,,,us-east-1,,197.210.8.131
2503cb04-930c-4908-b4cf-89816d4e683c,"2020-07-27, 02:20:56 PM",olajide,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
3f18195e-6d44-4fbb-ac17-281d142aa2fd,"2020-07-27, 02:20:56 PM",olajide,ListAccessKeys,,,,us-east-1,,197.210.8.131
5255f5a2-a026-4037-b8b3-1716049bcacc,"2020-07-27, 02:20:56 PM",olajide,ListAccountAliases,,,,us-east-1,,197.210.8.131
83dd43a7-e69b-465f-a075-de2d7fc82943,"2020-07-27, 02:20:56 PM",olajide,GetAccountSummary,,,,us-east-1,,197.210.8.131
ef8446b3-143a-42aa-9c08-7d02f25d21b3,"2020-07-27, 02:20:56 PM",olajide,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,197.210.8.131
c386acc1-f4a9-4267-996b-832938fd5c40,"2020-07-27, 02:20:50 PM",olajide,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
de63594b-4a51-4937-8608-f177b15a0558,"2020-07-27, 02:20:46 PM",olajide,ConsoleLogin,,,,us-east-1,,197.210.8.131
7a8af7f5-1a9d-4a23-a585-5892baeedf93,"2020-07-27, 02:20:00 PM",root,ListAccessKeys,,,,us-east-1,,197.210.8.131
8ce46aad-7cc0-487b-b3b5-919301063436,"2020-07-27, 02:20:00 PM",root,GetAccountSummary,,,,us-east-1,,197.210.8.131
8e59aecf-3a8f-4889-93e1-443976ce338c,"2020-07-27, 02:20:00 PM",root,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,197.210.8.131
ab786bed-6495-4de0-8a79-0dbd566b175a,"2020-07-27, 02:20:00 PM",root,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,197.210.8.131
f28adef6-be02-4846-aee8-c1f42ea26d04,"2020-07-27, 02:20:00 PM",root,ListAccountAliases,,,,us-east-1,,197.210.8.131
0180d4c9-4c41-4f37-8993-73f9ab070ccf,"2020-07-27, 02:19:39 PM",root,ListPolicies,,,,us-east-1,,197.210.8.131
2ff18ce6-3c22-42b8-a0df-9f3a0e9e0106,"2020-07-27, 02:19:33 PM",root,ListAccountAliases,,,,us-east-1,,197.210.8.131
39488a96-60c0-4830-8a04-2ef70dc39817,"2020-07-27, 02:19:33 PM",root,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,197.210.8.131
c79c6da4-dec6-4ba1-a8ad-e1275875dffa,"2020-07-27, 02:19:33 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
dcc45fe3-fa9d-4b47-8a07-78fb5a0484c5,"2020-07-27, 02:19:33 PM",root,ListAccessKeys,,,,us-east-1,,197.210.8.131
fdfaf40d-eacd-4aa7-828e-e289472abe59,"2020-07-27, 02:19:33 PM",root,GetAccountSummary,,,,us-east-1,,197.210.8.131
2b3929e7-e5f8-470e-b933-be72d1286557,"2020-07-27, 02:19:32 PM",root,ListAccountAliases,,,,us-east-1,,197.210.8.131
39bb1d2d-2b1a-4cdf-8e48-bd03e7967839,"2020-07-27, 02:19:32 PM",root,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,197.210.8.131
71c330b7-18fb-4024-a447-38c7cd10ebb5,"2020-07-27, 02:19:32 PM",root,ListAccessKeys,,,,us-east-1,,197.210.8.131
b9a35b49-5e56-4708-a7f0-e8ae619b3070,"2020-07-27, 02:19:32 PM",root,GetAccountSummary,,,,us-east-1,,197.210.8.131
013fb217-66bc-426e-a028-f99f43afcd80,"2020-07-27, 02:18:40 PM",root,ListPolicies,,,,us-east-1,,197.210.8.131
d7c8fabf-3446-4060-aedc-73aa54db4a20,"2020-07-27, 02:18:40 PM",root,ListAccountAliases,,,,us-east-1,,197.210.8.131
31f18702-46c7-43d1-a670-23732b54aa10,"2020-07-27, 02:18:39 PM",root,GetPolicy,,,,us-east-1,,197.210.8.131
9b6b5f87-329a-4bfa-8520-9eddb16e2b8c,"2020-07-27, 02:18:39 PM",root,GetPolicy,,,,us-east-1,,197.210.8.131
bc051f9a-d723-441d-8419-9dd2990ddf61,"2020-07-27, 02:18:39 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""olajide""}]",,us-east-1,,197.210.8.131
36cf8503-49ca-4a6b-b642-1a2a20c9ea1e,"2020-07-27, 02:18:38 PM",root,ListUsers,,,,us-east-1,,197.210.8.131
a6b2095f-47e8-461d-ad46-69041a36c5db,"2020-07-27, 02:18:38 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""olajide""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAZM2EALSLEXQHRPD5N""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::645998337174:user/olajide""}]",,us-east-1,,197.210.8.131
bec24724-473e-4a0b-9631-2944483711a2,"2020-07-27, 02:18:38 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""olajide""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""}]",,us-east-1,,197.210.8.131
dd314d45-fa5b-484c-be4a-6d74eeea1d26,"2020-07-27, 02:18:38 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""olajide""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AdministratorAccess""}]",,us-east-1,,197.210.8.131
6545031f-2412-4900-96a0-e0690ebcd8e2,"2020-07-27, 02:17:28 PM",root,ListGroups,,,,us-east-1,,197.210.8.131
b68dec40-aaac-4c4b-a7c7-4be2e4b8de59,"2020-07-27, 02:16:53 PM",root,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,197.210.8.131
2d3622d1-7681-4340-b8c7-8a72bcb0b147,"2020-07-27, 02:16:45 PM",root,GetAccountSummary,,,,us-east-1,,197.210.8.131
3cf91e57-ac6e-4de1-8b7e-fd32feb14153,"2020-07-27, 02:16:45 PM",root,ListAccountAliases,,,,us-east-1,,197.210.8.131
a425e282-4c3f-4b7e-bc68-160e1dde9c74,"2020-07-27, 02:16:45 PM",root,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,197.210.8.131
aef38c06-b5b6-4798-8ed4-67b87b10ca7a,"2020-07-27, 02:16:45 PM",root,ListPolicies,,,,us-east-1,,197.210.8.131
decfd497-356d-4d80-a9b2-db0280a91426,"2020-07-27, 02:16:45 PM",root,ListAccessKeys,,,,us-east-1,,197.210.8.131
5603ee71-5709-4071-b939-851a253902f6,"2020-07-27, 02:16:43 PM",root,ListUsers,,,,us-east-1,,197.210.8.131
ea257b63-8fa7-449a-ac49-011d81ce0453,"2020-07-27, 02:16:43 PM",root,ListUsers,,,,us-east-1,,197.210.8.131
2d7adea2-7148-496b-82b2-53b1b954ff5e,"2020-07-27, 02:16:31 PM",root,ListAccessKeys,,,,us-east-1,,197.210.8.131
a19d8ed2-8635-4b10-bf5b-bcb1f5df0586,"2020-07-27, 02:16:31 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
b1425d3c-6b52-4331-be2e-b2ebc8e33daf,"2020-07-27, 02:16:31 PM",root,ListAccountAliases,,,,us-east-1,,197.210.8.131
69387d69-4dda-4455-a663-9f36620c0035,"2020-07-27, 02:16:30 PM",root,GetAccountSummary,,,,us-east-1,,197.210.8.131
e3217fbc-bfa0-479e-be9c-43a3d131a89b,"2020-07-27, 02:16:30 PM",root,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,197.210.8.131
bca0021f-5836-475a-81f1-09e16323504e,"2020-07-27, 02:16:24 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
74036a70-5b78-4e38-ae23-90fc1756fcfb,"2020-07-27, 02:16:15 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
be72cc0c-5a22-4682-b994-6e4391211964,"2020-07-27, 02:16:15 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
48a813fd-9259-4049-a6f3-bf7152b09201,"2020-07-27, 02:15:01 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
2e258237-29c7-44f5-bb80-611c405735ae,"2020-07-27, 02:11:29 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
893b7b89-94e1-4094-b1c6-33314d1fc90a,"2020-07-27, 02:11:29 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
7e542376-d165-40f7-974f-9db84071761b,"2020-07-27, 02:10:00 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
9d609a15-1327-457b-9c7f-6281aa5c48ca,"2020-07-27, 02:06:29 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
e3e288ab-2a49-48d6-8f80-a29d6ec5b09d,"2020-07-27, 02:06:28 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
48f1a617-da3a-479a-8564-ce87e545339e,"2020-07-27, 02:04:59 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
022de074-df49-4531-b19a-97cd5584ecf8,"2020-07-27, 02:01:29 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
5ca7fe10-6c0d-49a8-aac2-637f867be24f,"2020-07-27, 02:01:28 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
4917893b-813e-4c65-bfc7-9d0214a08c88,"2020-07-27, 01:59:58 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
d9de0459-0755-48bf-9525-f221e7cd6a4f,"2020-07-27, 01:56:27 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
3838c203-9d73-4e0c-8c56-53eb96e3a709,"2020-07-27, 01:56:15 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
f2cc1d2c-fb7f-4e2f-a304-6c05738492ad,"2020-07-27, 01:56:15 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
7cfc6354-2269-4603-a8e2-3fd8a46c492d,"2020-07-27, 01:54:56 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
09397f3c-30f3-482b-ac31-a69669d1cd8d,"2020-07-27, 01:51:29 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
055596a4-e667-46ec-ad44-3fc8604f600d,"2020-07-27, 01:51:28 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
e8a24fb2-db19-4078-a72d-81929c0f7e3f,"2020-07-27, 01:49:55 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
ba871654-a4da-42dc-a506-62308b98ad0e,"2020-07-27, 01:46:28 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
81f94998-c74f-40c0-ab91-e7ce055e7fa8,"2020-07-27, 01:46:02 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
f93c52a6-87e9-4a9e-87ce-c0490815d3fe,"2020-07-27, 01:46:01 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
59bda9ac-4a43-41a6-90b5-d5fa5c664307,"2020-07-27, 01:44:54 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
28cea849-44dc-402c-ad62-d7ce75541fea,"2020-07-27, 01:41:42 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
8fabb0ce-442f-49f3-9944-bd2d12f501ee,"2020-07-27, 01:41:41 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
8c417466-7102-454d-8c79-ebb48acda9e3,"2020-07-27, 01:39:53 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
bd1fda26-78d1-4436-913f-e85f71fc0ae7,"2020-07-27, 01:37:21 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
cd772e2d-026c-40cf-ad74-7aa6e8b9a102,"2020-07-27, 01:35:48 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
02c50163-edb1-4e4d-b0da-18efb632567d,"2020-07-27, 01:35:47 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
413442fa-b369-49fc-8888-e06d54fbd833,"2020-07-27, 01:34:52 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
b68f118e-0fc8-45fa-ad14-32eb71090db6,"2020-07-27, 01:32:54 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
e218546b-3c06-42db-b7e9-3392b046e4fd,"2020-07-27, 01:32:54 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
61ebc1ed-3de4-4da2-86a4-8672985832ed,"2020-07-27, 01:29:51 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
04af370a-071e-4d95-8aaa-4aa84c8dbc2c,"2020-07-27, 01:29:14 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
f7e5bae0-9c4f-4036-8e87-e6b2c426b41e,"2020-07-27, 01:29:14 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
34f27712-098f-47d7-9de5-676ad1b86b7c,"2020-07-27, 01:25:34 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
89781ad9-f368-474b-a2fb-b24776eedb81,"2020-07-27, 01:25:34 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
a6e5119a-0c15-4f2b-8dd4-f6dbf403f4fd,"2020-07-27, 01:24:50 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
e98fb2d4-ca9d-45b2-a7d5-bff1435555fa,"2020-07-27, 01:22:01 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
e867c877-ac1c-4784-930e-350a326226a4,"2020-07-27, 01:22:00 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
2ef39419-0140-481b-b98f-1e6c2f41fe53,"2020-07-27, 01:19:49 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
ae2e2048-2005-4910-b674-37e375d71830,"2020-07-27, 01:18:44 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
ed0ed4cd-bbe2-4bb8-a021-de5c3e711eb5,"2020-07-27, 01:18:44 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
6daed3f1-0912-4521-a0ca-85c8ddea2bf3,"2020-07-27, 01:16:19 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
512efb27-8f0a-4428-b5bc-ba6d66173561,"2020-07-27, 01:15:19 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
a07ec8dd-bc6f-4251-8d79-8ac078fd401d,"2020-07-27, 01:14:47 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
4c04b15a-82d8-430b-a5a9-36aa5fc128b7,"2020-07-27, 01:13:53 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
8125901b-d7ca-41b8-9bb5-fcbbecac9382,"2020-07-27, 01:12:25 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
0fae7431-8d63-4a3c-801c-f7894d54f29f,"2020-07-27, 01:12:04 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
6b157f3a-76ea-42b8-822a-1fa2e21923d7,"2020-07-27, 01:12:04 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
e8819c1b-261d-439f-a4e1-c437a0d96c16,"2020-07-27, 01:11:20 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
0983acf7-ceda-4993-8e45-a400922cffc3,"2020-07-27, 01:11:05 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
bbb3a7d8-8fee-4448-a3d7-01e2d41bbdac,"2020-07-27, 01:10:44 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
eb46d1fd-68d3-4ae3-8e1a-bcff8a5a37cd,"2020-07-27, 01:10:30 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
2f07988e-8305-4485-8446-cff260f2969d,"2020-07-27, 01:10:15 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
13410df6-8ecb-4fd4-8650-fdd8f3f6abd7,"2020-07-27, 01:10:05 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
530ccf7b-785e-4f0e-8bf4-bd249bec4f0b,"2020-07-27, 01:10:04 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
15d3607f-74ce-41bc-827b-3c53ee48ecf7,"2020-07-27, 01:09:46 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
efcb1d6d-ea31-4bc4-adf2-23da2a36a565,"2020-07-27, 01:08:50 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
fb975fb9-01a2-415b-9db4-675f644bc1ea,"2020-07-27, 01:07:14 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
3e88e472-e17b-4bba-b230-8865b1738f5d,"2020-07-27, 01:05:21 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
c3763e2a-e4b9-42d0-bffc-40cdbc6a570a,"2020-07-27, 01:05:20 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
4b0e8642-5fd3-486b-b3cb-070b883618aa,"2020-07-27, 01:04:45 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
56155338-ddf0-4617-b76b-09d6eae30ddd,"2020-07-27, 01:02:01 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
eb0ae54a-b4b3-4d2e-b633-c486bc38610f,"2020-07-27, 01:02:00 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
5cd83616-d6db-4f2d-90cf-da5abdb14ac4,"2020-07-27, 12:59:44 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
33898527-f5d7-4e07-8784-55ff48800bc2,"2020-07-27, 12:58:41 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
441f1172-77fe-462e-b5ce-42763e8d3107,"2020-07-27, 12:58:40 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
b29a79cc-90d1-4b6c-b723-a7612d7e053c,"2020-07-27, 12:55:21 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
63e5778a-fc7b-42ed-9e49-9d697effdc92,"2020-07-27, 12:55:20 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
bf091620-dcbf-4951-8b1d-ca52aa483ec5,"2020-07-27, 12:54:43 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
c48a501c-ed7c-4a24-b820-bdc8276ff54d,"2020-07-27, 12:52:00 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
0b9535e1-c8b4-46a1-b725-c2ab5dca1b51,"2020-07-27, 12:50:41 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
2116e126-b1dd-4a8e-b08a-7353d924ee87,"2020-07-27, 12:50:03 PM",root,ListTagsForResource,,,,us-east-1,,197.210.8.131
7cd9c3e0-fba7-4cc4-9865-3df04d819345,"2020-07-27, 12:49:42 PM",root,DescribeEventAggregates,,,,us-east-1,,197.210.8.131
8cbc7294-436e-4abe-9acc-33877361793e,"2020-07-27, 12:48:53 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
e7791a40-c6ad-4f63-9c57-59a8927b75b0,"2020-07-27, 12:48:28 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
464d22c3-9691-436c-9812-0bc46c73b269,"2020-07-27, 12:47:40 PM",root,ListInvalidations,,,,us-east-1,,197.210.8.131
